"gdp_id";"country_id";"year";"gdp"
532;17;2000;5270000000.0
533;17;2001;5710000000.0
534;17;2002;6240000000.0
535;17;2003;7280000000.0
536;17;2004;8680000000.0
537;17;2005;13200000000.0
538;17;2006;21000000000.0
539;17;2007;33100000000.0
540;17;2008;48900000000.0
541;17;2009;44300000000.0
542;17;2010;52900000000.0
543;17;2011;66000000000.0
544;17;2012;69700000000.0
545;17;2013;74200000000.0
546;17;2014;75200000000.0
547;17;2015;53100000000.0
548;17;2016;37900000000.0
549;17;2017;40900000000.0
550;17;2018;47100000000.0
551;17;2019;48200000000.0
552;17;2020;42600000000.0
553;18;1960;196000000.0
554;18;1961;203000000.0
555;18;1962;214000000.0
556;18;1963;233000000.0
557;18;1964;261000000.0
558;18;1965;159000000.0
559;18;1966;165000000.0
560;18;1967;178000000.0
561;18;1968;183000000.0
562;18;1969;190000000.0
563;18;1970;243000000.0
564;18;1971;253000000.0
565;18;1972;247000000.0
566;18;1973;304000000.0
567;18;1974;345000000.0
568;18;1975;421000000.0
569;18;1976;448000000.0
570;18;1977;548000000.0
571;18;1978;610000000.0
572;18;1979;782000000.0
573;18;1980;920000000.0
574;18;1981;969000000.0
575;18;1982;1010000000.0
576;18;1983;1080000000.0
577;18;1984;987000000.0
578;18;1985;1150000000.0
579;18;1986;1200000000.0
580;18;1987;1130000000.0
581;18;1988;1080000000.0
582;18;1989;1110000000.0
583;18;1990;1130000000.0
584;18;1991;1170000000.0
585;18;1992;1080000000.0
586;18;1993;939000000.0
587;18;1994;925000000.0
588;18;1995;1000000000.0
589;18;1996;869000000.0
590;18;1997;973000000.0
591;18;1998;894000000.0
592;18;1999;808000000.0
593;18;2000;870000000.0
594;18;2001;877000000.0
595;18;2002;825000000.0
596;18;2003;785000000.0
597;18;2004;915000000.0
598;18;2005;1120000000.0
599;18;2006;1270000000.0
600;18;2007;1360000000.0
601;18;2008;1610000000.0
602;18;2009;1780000000.0
603;18;2010;2030000000.0
604;18;2011;2240000000.0
605;18;2012;2330000000.0
606;18;2013;2450000000.0
607;18;2014;2710000000.0
608;18;2015;3100000000.0
609;18;2016;2730000000.0
610;18;2017;2750000000.0
611;18;2018;2670000000.0
612;18;2019;2630000000.0
613;18;2020;2840000000.0
614;19;1960;11700000000.0
615;19;1961;12400000000.0
616;19;1962;13300000000.0
617;19;1963;14300000000.0
618;19;1964;16000000000.0
619;19;1965;17400000000.0
620;19;1966;18700000000.0
621;19;1967;20000000000.0
622;19;1968;21400000000.0
623;19;1969;23700000000.0
624;19;1970;26700000000.0
625;19;1971;29800000000.0
626;19;1972;37200000000.0
627;19;1973;47700000000.0
628;19;1974;56000000000.0
629;19;1975;65700000000.0
630;19;1976;71100000000.0
631;19;1977;82800000000.0
632;19;1978;101000000000.0
633;19;1979;116000000000.0
634;19;1980;127000000000.0
635;19;1981;105000000000.0
636;19;1982;92100000000.0
637;19;1983;87200000000.0
638;19;1984;83300000000.0
639;19;1985;86300000000.0
640;19;1986;120000000000.0
641;19;1987;149000000000.0
642;19;1988;162000000000.0
643;19;1989;164000000000.0
644;19;1990;205000000000.0
645;19;1991;211000000000.0
646;19;1992;235000000000.0
